@relation mdb

@attribute RMean numeric
@attribute GMean numeric
@attribute BMean numeric
@attribute Rstd numeric
@attribute Gstd numeric
@attribute Bstd numeric
@attribute Xsymmetry numeric
@attribute Ysymmetry numeric
@attribute HCR numeric
@attribute Roundness numeric
@attribute minEnclosingCircle numeric
@attribute Irregularity numeric
@attribute Classification {M,N}

@data
121.1,82.9,61,9.5,9.9,11.5,0.79,0.49,0.89,0.61,0.52,2.8,M
54.2,47.6,50.3,26.8,23.2,22.5,0.4,0.29,0.81,0.55,0.42,3.2,M
79.9,51.9,38.6,16.7,13.2,11.4,0.68,0.36,0.92,0.72,0.41,2.8,M
109,61.7,50.1,24.6,16.2,13.3,0.4,0.25,0.88,0.64,0.47,2.9,M
96.2,68.7,76.2,16.8,12.1,8.6,0.79,1.2,0.88,0.59,0.39,3.2,M
59.2,48.6,48.1,22,19,19.5,0.47,0.24,0.93,0.72,0.47,2.7,M
80.3,52.3,38.8,16.6,13.1,11.2,0.48,0.32,0.92,0.71,0.41,2.9,M
112.5,77.8,53,22.5,17.8,13.7,0.4,0.62,0.9,0.5,0.65,2.6,M
175.6,140.1,108.4,12.4,14.1,12.4,0.47,0.32,0.93,0.78,0.35,2.9,N
91.1,61.7,49.2,14.7,14,12.4,0.53,0.36,0.94,0.77,0.46,2.6,N
200.1,143,107,7.7,10.5,11.7,0.93,0.99,0.93,0.78,0.27,3,N
188.2,125.3,96.1,13.9,17.8,17.2,0.67,0.53,0.86,0.61,0.39,3.1,N
183.4,115.6,93,15.2,18.6,16.6,0.33,0.23,0.89,0.68,0.44,2.8,N
140.8,90,68.3,19.9,22.8,22.2,0.3,0.39,0.86,0.64,0.35,3.2,N
145.3,97.2,71.4,19.2,23.5,21.4,0.22,0.19,0.78,0.5,0.49,3.2,N
122.9,65.7,44.3,15.4,13.4,9.9,0.23,0.13,0.94,0.81,0.42,2.7,N
122.5,75.5,58.5,18.5,18.7,16.1,0.15,0.23,0.94,0.8,0.41,2.7,N
200.2,143.2,107.3,7.7,10.5,11.7,0.64,1,0.9,0.71,0.27,3.17,N
63.2,38.1,47.4,39.3,31.8,30.2,0.49,0.45,0.84,0.61,0.29,3.4,N
112,58,42.5,23.5,28.7,27.2,0.33,0.4,0.9,0.7,0.41,2.9,N
200,143,107,7.9,10.9,12.1,0.93,0.59,0.84,0.61,0.28,3.4,N
200.1,143.2,107,7.8,10.7,11.8,0.72,0.89,0.88,0.68,0.25,3.3,N
199,142.8,107.1,7.7,10.3,10.4,0.72,0.73,0.89,0.69,0.27,3.2,N
147.4,116.7,85.6,10.8,13.6,13.4,0.29,0.38,0.93,0.75,0.42,2.8,N
168.4,136.6,110.3,4.2,6.8,8.5,0.46,0.27,0.95,0.84,0.27,2.9,N
145.4,108,77.9,4.6,7.1,8.7,0.31,0.29,0.93,0.8,0.29,2.9,N
145.2,107.7,77.7,4.4,6.8,8.4,0.3,0.39,0.94,0.81,0.28,2.9,N
145.2,107.7,77,4.3,6.7,8,0.26,0.41,0.93,0.79,0.27,3,N
122,87.7,53,13,16,15,0.24,0.27,0.9,0.7,0.42,2.9,N
122,87,52,13,16,14.8,0.37,0.22,0.92,0.72,0.42,2.8,N
160,118,85,10,14,13.8,0.34,0.39,0.9,0.69,0.42,2.9,N
183,133,87,7,8.1,7.5,0.43,0.42,0.86,0.64,0.36,3.14,N
183,133,87,7.11,8.2,7.4,0.37,0.41,0.9,0.72,0.33,3,N
183,133,87,7.1,8.1,7.3,0.35,0.34,0.87,0.66,0.35,3.1,N
156,117,90,10.9,15.4,15,0.3,0.36,0.87,0.66,0.32,3.2,N
176,141,109,12.5,14.3,12.5,0.26,0.22,0.91,0.75,0.36,2.9,N
176,141,109,12.7,14.5,12.6,0.18,0.34,0.9,0.74,0.35,2.9,N
176,140,108,12.3,14,12,0.24,0.26,0.9,0.73,0.37,2.9,N
92.5,88.1,72,7.9,10,8.4,0.22,0.31,0.94,0.76,0.42,2.7,N
91,86,69,7.7,9.7,8.1,0.25,0.21,0.92,0.71,0.43,2.8,N
99.6,97.2,85.3,9.3,9.5,9,0.48,0.3,0.89,0.62,0.51,2.8,N
98.8,93.5,71.1,6.2,8.3,8.1,0.36,0.36,0.91,0.76,0.21,3.2,N
93.4,87.7,70.9,8.3,9.7,8,0.2,0.38,0.93,0.78,0.29,3,N
63,55.1,44,12.1,10.7,8.7,0.21,0.26,0.88,0.72,0.23,3.2,N
119,113,93.7,5.9,9.1,11,0.4,0.26,0.88,0.68,0.26,3.3,N
105,80,55,23.6,21.3,12.8,0.29,0.36,0.9,0.68,0.46,2.8,N
106,80,55,23.5,21,12.7,0.25,0.43,0.9,0.7,0.4,2.9,N
72,60,51,12.4,11.3,7.6,0.47,0.31,0.86,0.65,0.23,3.4,N
82,72,55,9.6,11.6,8.3,0.41,0.39,0.86,0.62,0.39,3.1,N
81,71,56,8.7,9.6,8.8,0.21,0.33,0.86,0.64,0.34,3.2,N
106,92,71,11.9,13.7,10.1,0.34,0.37,0.83,0.57,0.39,3.2,N
105,92,72,11.7,13.5,9,0.46,0.33,0.82,0.55,0.37,3.3,N
122,59,41,13.3,15.1,14.4,0.28,0.32,0.94,0.82,0.28,2.9,N
168,108,69,8.8,11.1,14,0.41,0.89,0.95,0.79,0.35,2.8,N
177,117,87,4.6,6,7.6,0.67,0.4,0.92,0.76,0.32,2.9,N
168,108,70,8.9,11.4,14.4,0.29,0.42,0.93,0.76,0.43,2.7,N
171,105,60,8.1,9.9,15.2,0.4,0.33,0.83,0.56,0.43,3.2,N
171,105,60,8.4,10.3,15.5,0.35,0.47,0.84,0.59,0.43,3.1,N
135,89,56.9,11.6,13.4,11.9,0.22,0.6,0.93,0.78,0.36,2.9,N
157.3,107.5,61.7,9.6,12.3,12.7,0.5,0.81,0.8,0.49,0.48,3.2,N
145,97,42,11.8,13.9,12.5,0.32,0.43,0.9,0.74,0.3,3.1,N
131,74,23,6.7,9.2,6.6,0.32,0.28,0.92,0.75,0.36,2.9,N
103,58,22,9,11.7,13.1,0.24,0.68,0.95,0.8,0.38,2.8,N
102,58,21,8.5,11.2,12.6,0.31,0.86,0.96,0.84,0.26,2.9,N
117,70.6,33.6,12.4,13.4,16,0.19,0.59,0.95,0.83,0.3,2.9,N
